cluster_id,trial_index,completion_rate,destroyed_value,total_value,surviving_attack_uavs,mean_hit_probability,distance_consumption
1,228,0.25,1.0,4.0,1.0,0.5573582645646704,1.0
1,229,1.0,4.0,4.0,1.0,0.5450719858925648,1.0
1,230,0.75,3.0,4.0,1.0,0.5366805559544767,1.0
1,231,1.0,4.0,4.0,1.0,0.604420282187169,1.0
1,232,0.75,3.0,4.0,1.0,0.5378222103969109,1.0
1,233,1.0,4.0,4.0,1.0,0.5723723317579225,1.0
1,234,0.25,1.0,4.0,1.0,0.5413147207834116,1.0
1,235,0.25,1.0,4.0,1.0,0.5151270228259305,1.0
1,236,1.0,4.0,4.0,1.0,0.49875521869049544,1.0
1,237,0.25,1.0,4.0,1.0,0.5222591173074959,1.0
1,238,0.25,1.0,4.0,1.0,0.5539703443514349,1.0
1,239,0.25,1.0,4.0,1.0,0.5441990736950987,1.0
1,240,0.0,0.0,4.0,1.0,0.5116567211463199,1.0
1,241,0.25,1.0,4.0,1.0,0.5150674225576656,1.0
1,242,0.0,0.0,4.0,0.0,0.0,0.0
1,243,0.0,0.0,4.0,0.0,0.0,0.0
1,244,0.5,2.0,4.0,1.0,0.589237804039508,1.0
1,245,0.5,2.0,4.0,1.0,0.5530510596351357,1.0
1,246,0.25,1.0,4.0,1.0,0.5599916726213725,1.0
1,247,0.25,1.0,4.0,1.0,0.5744585000128442,1.0
1,248,0.5,2.0,4.0,1.0,0.5523777531142059,1.0
1,249,0.0,0.0,4.0,0.0,0.0,0.0
1,250,0.5,2.0,4.0,1.0,0.5154243567203245,1.0
1,251,0.5,2.0,4.0,1.0,0.6016090809784083,1.0
1,252,0.5,2.0,4.0,1.0,0.5751525369237629,1.0
1,253,0.75,3.0,4.0,1.0,0.5776591588757363,1.0
1,254,1.0,4.0,4.0,1.0,0.5195423484154476,1.0
1,255,0.25,1.0,4.0,1.0,0.5297709707713745,1.0
1,256,0.25,1.0,4.0,1.0,0.5414176799245586,1.0
1,257,0.75,3.0,4.0,1.0,0.5121317468948992,1.0
1,258,0.25,1.0,4.0,1.0,0.511648889103683,1.0
1,259,0.5,2.0,4.0,1.0,0.4897742514207718,1.0
1,260,0.25,1.0,4.0,1.0,0.4845538785911105,1.0
1,261,0.25,1.0,4.0,1.0,0.535084903157843,1.0
1,262,1.0,4.0,4.0,1.0,0.5943310890376833,1.0
1,263,0.5,2.0,4.0,1.0,0.5030491443570488,1.0
1,264,0.0,0.0,4.0,1.0,0.5418859196035616,1.0
1,265,1.0,4.0,4.0,1.0,0.5276934592665975,1.0
1,266,0.5,2.0,4.0,1.0,0.5191707452594695,1.0
1,267,0.5,2.0,4.0,1.0,0.5094860758107491,1.0
1,268,0.5,2.0,4.0,1.0,0.5769064143593533,1.0
1,269,0.75,3.0,4.0,1.0,0.5219083094317665,1.0
1,270,1.0,4.0,4.0,1.0,0.5644541914380805,1.0
1,271,0.75,3.0,4.0,1.0,0.5528742285039547,1.0
1,272,0.5,2.0,4.0,1.0,0.5200555680377968,1.0
1,273,0.5,2.0,4.0,1.0,0.5459339263517181,1.0
1,274,0.25,1.0,4.0,1.0,0.5618232766291101,1.0
1,275,0.25,1.0,4.0,1.0,0.4491008288232548,1.0
1,276,0.25,1.0,4.0,1.0,0.5694192645554754,1.0
1,277,1.0,4.0,4.0,1.0,0.5547570777482317,1.0
1,278,0.0,0.0,4.0,1.0,0.5189295947407813,1.0
1,279,0.25,1.0,4.0,1.0,0.5612897959613342,1.0
1,280,0.25,1.0,4.0,1.0,0.5225062818603441,1.0
1,281,0.5,2.0,4.0,1.0,0.5301816999090725,1.0
1,282,0.5,2.0,4.0,1.0,0.5381292057606755,1.0
1,283,0.25,1.0,4.0,1.0,0.5322312812603314,1.0
1,284,0.5,2.0,4.0,1.0,0.5785006683346046,1.0
1,285,0.5,2.0,4.0,1.0,0.5221374630350889,1.0
