Episode,Value
867,[0.60803807]
868,[1.434084]
869,[0.5510782]
870,[0.55220395]
871,[0.5637454]
872,[0.5707118]
873,[0.5951747]
874,[0.6193761]
875,[0.5470184]
876,[0.548594]
877,[0.6261587]
878,[0.5669733]
879,[0.58224714]
880,[1.1514659]
881,[0.5984769]
882,[0.55075336]
883,[1.581312]
884,[0.5554586]
885,[0.9172989]
886,[0.5530051]
887,[0.5532071]
888,[0.5920277]
889,[0.56538993]
890,[0.55119497]
891,[0.8975132]
892,[0.86828303]
893,[0.6151004]
894,[0.55082595]
895,[0.5444578]
896,[0.54786867]
897,[0.67239445]
898,[0.57816917]
899,[0.554439]
900,[0.5362161]
901,[0.5655354]
902,[0.56017214]
903,[0.5579041]
904,[0.5723982]
905,[0.55041903]
906,[0.5440161]
907,[0.57188547]
908,[0.8612573]
909,[0.60874635]
910,[0.62631816]
911,[0.5669264]
912,[0.57869667]
913,[0.56877285]
914,[0.5721393]
915,[0.55597335]
916,[0.5621101]
917,[0.66104895]
918,[0.54157114]
919,[0.53890145]
920,[1.3464767]
921,[0.55991757]
922,[0.5594423]
923,[0.563059]
924,[0.5638444]
925,[0.5605461]
926,[0.55756485]
927,[0.58084387]
928,[0.5503085]
929,[0.5497661]
930,[0.5561199]
931,[0.6535292]
932,[0.5639653]
933,[0.5349931]
934,[0.8140505]
935,[0.5731711]
936,[0.56418353]
937,[0.577473]
938,[0.5854053]
939,[0.56272066]
940,[0.54797655]
941,[0.55566484]
942,[0.5612316]
943,[0.53496426]
944,[0.5751277]
945,[0.5859412]
946,[0.6512397]
947,[0.5973359]
948,[0.6925675]
949,[2.228372]
950,[0.61489123]
951,[0.5662587]
952,[1.384455]
953,[0.8038282]
954,[0.5450264]
955,[0.5630842]
956,[0.5707944]
957,[0.55531853]
958,[2.8691418]
959,[0.66021204]
960,[0.56898713]
961,[0.7108391]
962,[0.6992935]
963,[0.59704375]
964,[0.57753605]
965,[0.56940144]
966,[0.9617098]
967,[0.54534066]
968,[0.5715373]
969,[0.62293917]
970,[0.9136077]
971,[0.54380834]
972,[1.134955]
973,[0.5503273]
974,[0.56230116]
975,[0.55500114]
976,[0.9425177]
977,[0.55888283]
978,[0.54392815]
979,[0.58750784]
980,[0.5703259]
981,[0.5729163]
982,[0.54944724]
983,[0.8985381]
984,[0.5738284]
985,[0.55254245]
986,[0.5730265]
987,[0.9895409]
988,[0.5849826]
989,[0.73562175]
990,[0.5341075]
991,[0.55238056]
992,[0.57431316]
993,[1.5633217]
994,[0.5497825]
995,[0.56729984]
996,[0.7728691]
997,[0.5307895]
998,[0.55711216]
999,[0.5406649]
1000,[0.5603445]
