episode,cluster_id,ordered_target_ids,total_path_distance,total_reward,num_steps,num_updates,mean_loss,random_action_count,greedy_action_count,random_action_ratio,invalid_or_no_action_count,done,is_best_episode,epsilon_after_episode,best_reward_so_far,global_env_steps,replay_buffer_size,latest_checkpoint_path,best_checkpoint_path,extra
85,3,"[13, 16, 15, 14]",116.10182393712081,26.366462669072508,4,4,2.326060950756073,3,1,0.75,0,True,False,0.8923333333333333,30.135987974687502,340,340,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
86,3,"[16, 13, 15, 14]",105.95058292191784,25.942538832616897,4,4,2.7947793006896973,4,0,1.0,0,True,False,0.8910666666666667,30.135987974687502,344,344,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
87,0,"[2, 4, 3, 1]",155.79811037352016,26.295030053538895,4,4,1.9871506094932556,3,1,0.75,0,True,False,0.8898,30.135987974687502,348,348,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
88,1,"[8, 6, 7, 5]",226.61090279896297,18.755364148520282,4,4,2.643760621547699,4,0,1.0,0,True,False,0.8885333333333334,30.135987974687502,352,352,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
89,3,"[14, 15, 16, 13]",131.81001590286493,22.83455840964945,4,4,2.358592212200165,4,0,1.0,0,True,False,0.8872666666666666,30.135987974687502,356,356,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
90,4,"[20, 18, 17, 19]",243.39657047378893,17.12318576897767,4,4,1.96117502450943,4,0,1.0,0,True,False,0.886,30.135987974687502,360,360,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
91,2,"[10, 11, 12, 9]",270.65945821372793,16.116486194709942,4,4,1.974546194076538,4,0,1.0,0,True,False,0.8847333333333334,30.135987974687502,364,364,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
92,4,"[19, 17, 18, 20]",225.96140673179957,19.183300509201782,4,4,1.4233127534389496,4,0,1.0,0,True,False,0.8834666666666666,30.135987974687502,368,368,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
93,4,"[18, 20, 19, 17]",229.4537289962148,17.283417073766742,4,4,1.9421434998512268,2,2,0.5,0,True,False,0.8822,30.135987974687502,372,372,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
94,1,"[7, 5, 8, 6]",173.96057184895602,21.953403967571337,4,4,1.527891367673874,4,0,1.0,0,True,False,0.8809333333333333,30.135987974687502,376,376,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
95,4,"[17, 18, 20, 19]",250.544713080887,16.95963895868179,4,4,1.3277414441108704,4,0,1.0,0,True,False,0.8796666666666667,30.135987974687502,380,380,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
96,1,"[5, 8, 6, 7]",200.39365931189104,28.565930775881494,4,4,1.747395634651184,4,0,1.0,0,True,False,0.8784,30.135987974687502,384,384,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
97,1,"[7, 8, 5, 6]",153.3103074252724,21.556848934156413,4,4,1.29767906665802,4,0,1.0,0,True,False,0.8771333333333333,30.135987974687502,388,388,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
98,3,"[15, 13, 16, 14]",110.72440362060973,26.524306284948956,4,4,2.3030924201011658,2,2,0.5,0,True,False,0.8758666666666667,30.135987974687502,392,392,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\strike_order_dqn\latest.pt,,
