episode,total_reward,num_steps,num_updates,mean_loss,random_action_count,greedy_action_count,random_action_ratio,invalid_or_no_action_count,done,is_best_episode,epsilon_after_episode,best_reward_so_far,global_env_steps,replay_buffer_size,latest_checkpoint_path,best_checkpoint_path,extra
67,-11.500514620815547,20,20,0.2128881046548486,17,3,0.85,0,True,False,0.7454000000000001,-8.426797052876246,1340,1340,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
68,-11.50012395092588,20,20,0.26286708302795886,16,4,0.8,0,True,False,0.7416,-8.426797052876246,1360,1360,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
69,-10.7347130097488,20,20,0.22259521521627904,13,7,0.65,0,True,False,0.7378,-8.426797052876246,1380,1380,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
70,-9.962497822208242,20,20,0.1987482003867626,17,3,0.85,0,True,False,0.734,-8.426797052876246,1400,1400,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
71,-12.268905718097622,20,20,0.20297786295413972,19,1,0.95,0,True,False,0.7302,-8.426797052876246,1420,1420,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
72,-11.504772193753826,20,20,0.216227101162076,17,3,0.85,0,True,False,0.7264,-8.426797052876246,1440,1440,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
73,-10.735582972944378,20,20,0.2906107686460018,18,2,0.9,0,True,False,0.7226,-8.426797052876246,1460,1460,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
74,-12.260966384576594,20,20,0.20689688734710215,17,3,0.85,0,True,False,0.7188000000000001,-8.426797052876246,1480,1480,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
75,-9.966417138743985,20,20,0.19267786666750908,13,7,0.65,0,True,False,0.7150000000000001,-8.426797052876246,1500,1500,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
76,-13.040891140303176,20,20,0.13704425524920225,13,7,0.65,0,True,False,0.7112,-8.426797052876246,1520,1520,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
77,-12.267715778791127,20,20,0.2819178141653538,14,6,0.7,0,True,False,0.7074,-8.426797052876246,1540,1540,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
78,-10.733793798401873,20,20,0.28136335164308546,15,5,0.75,0,True,False,0.7036,-8.426797052876246,1560,1560,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
79,-11.503973741758752,20,20,0.3396643687039614,16,4,0.8,0,True,False,0.6998,-8.426797052876246,1580,1580,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
80,-12.27194650366639,20,20,0.2453381385654211,10,10,0.5,0,True,False,0.696,-8.426797052876246,1600,1600,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
81,-9.96648174012288,20,20,0.17445610128343106,11,9,0.55,0,True,False,0.6921999999999999,-8.426797052876246,1620,1620,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
82,-10.72373963820889,20,20,0.20690530501306056,17,3,0.85,0,True,False,0.6884,-8.426797052876246,1640,1640,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
83,-9.96193211320279,20,20,0.2188486646860838,14,6,0.7,0,True,False,0.6846,-8.426797052876246,1660,1660,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
84,-10.736494924617844,20,20,0.28495236933231355,16,4,0.8,0,True,False,0.6808000000000001,-8.426797052876246,1680,1680,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
85,-10.733052914832166,20,20,0.2613405391573906,12,8,0.6,0,True,False,0.677,-8.426797052876246,1700,1700,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
86,-11.501615295378041,20,20,0.22898523993790149,12,8,0.6,0,True,False,0.6732,-8.426797052876246,1720,1720,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
87,-13.042150993771122,20,20,0.32578731663525107,15,5,0.75,0,True,False,0.6694,-8.426797052876246,1740,1740,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
88,-10.734086550805714,20,20,0.23730819597840308,12,8,0.6,0,True,False,0.6656,-8.426797052876246,1760,1760,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
89,-13.043118817565894,20,20,0.2917944572865963,14,6,0.7,0,True,False,0.6618,-8.426797052876246,1780,1780,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
90,-10.733254896900327,20,20,0.2347500927746296,14,6,0.7,0,True,False,0.658,-8.426797052876246,1800,1800,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
91,-9.96700682232675,20,20,0.27626518756151197,16,4,0.8,0,True,False,0.6542,-8.426797052876246,1820,1820,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
92,-13.041932021526907,20,20,0.2814379073679447,14,6,0.7,0,True,False,0.6504000000000001,-8.426797052876246,1840,1840,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
93,-11.503283162977334,20,20,0.40155618712306024,11,9,0.55,0,True,False,0.6466000000000001,-8.426797052876246,1860,1860,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
94,-9.96422433850844,20,20,0.4002840477973223,12,8,0.6,0,True,False,0.6428,-8.426797052876246,1880,1880,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
95,-9.956666138897843,20,20,0.38066460713744166,15,5,0.75,0,True,False,0.639,-8.426797052876246,1900,1900,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
96,-11.497927140307604,20,20,0.392034899443388,12,8,0.6,0,True,False,0.6352,-8.426797052876246,1920,1920,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
97,-10.734137033204043,20,20,0.37087871730327604,13,7,0.65,0,True,False,0.6314,-8.426797052876246,1940,1940,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
98,-9.966560874859306,20,20,0.402388171851635,14,6,0.7,0,True,False,0.6275999999999999,-8.426797052876246,1960,1960,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
99,-8.41489013566713,20,20,0.5246946290135384,12,8,0.6,0,True,True,0.6238,-8.41489013566713,1980,1980,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\best.pt,
100,-12.272266332283627,20,20,0.30646571293473246,11,9,0.55,0,True,False,0.62,-8.41489013566713,2000,2000,F:\项目\专利\uav_dynamic_task_allocation\checkpoints\dqn\latest.pt,,
